"game_id","team_id","player_id"
2017020699,25,8477945
2017020699,25,8476966
2015020239,25,8470622
2015020239,25,8476279
2015020239,25,8475747
2015020239,52,8471385
2015020239,52,8474061
2015020239,52,8474074
2017020506,20,8474749
2017020506,20,8475878
2017020506,20,8477508
2017020506,18,8475625
2017020506,18,8471657
2017020506,18,8476447
2017021194,18,8475868
2017021194,18,8475714
2017021194,18,8475766
2017021194,18,8474134
2017021194,28,8475820
2017021194,28,8470611
2017021194,28,8479580
2017021194,28,8476624
2017021194,28,8475841
2017021194,28,8477983
2017021194,28,8477046
2017020342,29,8478541
2017020342,29,8476449
2017020342,29,8477505
2017020342,9,8476368
2017021257,4,8477462
2017021257,4,8476955
2017021257,4,8473607
2017021257,4,8469665
2017021257,4,8475738
2017021257,4,8474668
2017021257,3,8474008
2017021257,3,8471976
2017021257,3,8477950
2017021257,3,8475855
2017021257,3,8475180
2017021257,3,8471657
2015020007,14,8476300
2015020007,14,8476975
2015020007,4,8474040
2015020007,4,8475462
2015020007,4,8467329
2015020693,6,8478564
2015020693,6,8476525
2015020693,6,8475292
2015020693,23,8471490
2015020693,23,8471283
2015020693,23,8474134
2016020368,53,8479345
2016020368,53,8477460
2016020368,53,8474568
2016020368,29,8478541
2016020368,29,8476449
2016020368,29,8474774
2017021255,16,8477407
2017021255,16,8476341
2017021255,16,8477401
2017021255,16,8476430
2017021255,16,8473604
2017021255,19,8474596
2017021255,19,8470151
2017021255,19,8474125
2017021255,19,8480761
2017021255,19,8476877
2017021255,19,8479588
2017021255,19,8476897
2017021255,19,8470105
2015020061,52,8475279
2015020061,52,8474061
2015020061,52,8474074
2015020061,20,8476440
2015020061,20,8475299
2015020871,29,8471766
2015020871,29,8473992
2015020871,29,8474597
2015020871,7,8469470
2015020871,7,8473426
2015021099,2,8470609
2015021099,2,8460720
2015021099,2,8471362
2015021099,2,8470860
2015021099,2,8473565
2015021099,2,8469623
2015021099,9,8474697
2015021099,9,8467493
2015021099,9,8470602
2015021099,9,8474068
2015021099,9,8474605
2015020971,21,8475199
2015020971,21,8478561
2015020971,21,8474743
2015020971,18,8467890
2017021010,24,8467400
2017021010,24,8476806
2017021010,24,8468535
2017021010,16,8480172
2017020853,19,8471761
2017020853,19,8476897
2017020853,19,8479420
2017020853,5,8476927
2017020853,5,8471436
2017020853,5,8477244
2016020887,14,8474722
2016020887,22,8473468
2016020887,22,8476915
